qtr;time_remaining;result;shot_type;distance_ft;lead
1st Qtr;7:27;False;2;6;True
1st Qtr;7:22;True;2;17;True
1st Qtr;7:11;False;3;27;True
1st Qtr;5:16;False;3;25;True
1st Qtr;3:52;False;3;24;True
1st Qtr;2:58;False;2;18;False
2nd Qtr;6:11;False;2;3;True
2nd Qtr;5:15;True;2;1;True
2nd Qtr;4:30;True;2;1;True
2nd Qtr;4:03;True;2;1;True
2nd Qtr;2:48;False;3;23;True
2nd Qtr;0:32;True;2;2;True
3rd Qtr;5:27;True;3;24;True
3rd Qtr;4:51;True;3;28;True
3rd Qtr;3:47;False;3;32;True
3rd Qtr;3:42;False;3;27;True
4th Qtr;6:23;False;3;25;True
4th Qtr;4:01;True;3;25;True
4th Qtr;3:33;True;2;1;True
4th Qtr;3:15;True;3;25;True
4th Qtr;2:46;False;3;25;True
1st Qtr;9:14;True;3;26;False
1st Qtr;6:55;True;2;5;True
1st Qtr;6:39;False;3;29;False
1st Qtr;4:12;False;3;26;False
2nd Qtr;5:59;False;3;25;False
2nd Qtr;3:54;False;3;28;False
2nd Qtr;2:17;True;2;6;False
2nd Qtr;1:44;True;2;4;False
3rd Qtr;9:46;False;2;10;False
3rd Qtr;9:43;False;2;10;False
3rd Qtr;9:21;False;3;26;False
3rd Qtr;4:36;True;2;5;False
3rd Qtr;2:42;False;2;12;False
3rd Qtr;2:17;True;3;27;False
4th Qtr;5:29;True;2;9;False
4th Qtr;4:52;False;2;6;False
4th Qtr;4:04;False;3;23;False
4th Qtr;3:34;True;3;26;False
4th Qtr;2:38;True;3;26;False
4th Qtr;1:52;False;2;5;False
4th Qtr;1:11;True;3;35;False
4th Qtr;0:39;False;2;21;False
1st Qtr;9:06;False;3;26;True
1st Qtr;7:29;False;2;3;True
1st Qtr;7:10;True;3;27;True
1st Qtr;5:47;True;2;17;True
1st Qtr;3:57;True;2;5;True
2nd Qtr;7:15;True;2;18;True
2nd Qtr;6:47;True;3;27;True
2nd Qtr;6:22;True;3;28;True
2nd Qtr;3:53;True;3;28;True
2nd Qtr;2:50;True;3;26;True
2nd Qtr;1:28;True;3;25;True
2nd Qtr;0:44;False;3;24;True
2nd Qtr;0:13;False;2;9;True
3rd Qtr;10:48;True;3;26;True
3rd Qtr;9:57;False;3;27;True
3rd Qtr;9:16;True;2;21;True
3rd Qtr;7:12;False;2;8;True
3rd Qtr;3:03;False;3;30;True
4th Qtr;4:42;False;3;28;True
4th Qtr;2:33;False;2;5;True
4th Qtr;1:36;False;2;19;True
4th Qtr;1:10;False;2;6;True
1st Qtr;9:52;True;2;16;True
1st Qtr;5:57;False;2;18;False
1st Qtr;4:09;False;2;13;False
2nd Qtr;5:52;True;3;27;False
2nd Qtr;2:29;False;3;26;False
2nd Qtr;2:25;True;3;26;False
2nd Qtr;1:20;True;3;27;False
3rd Qtr;11:34;False;2;20;False
3rd Qtr;8:57;True;2;1;False
3rd Qtr;5:35;False;3;27;False
4th Qtr;8:10;False;2;5;False
4th Qtr;7:34;True;3;29;False
4th Qtr;6:00;False;3;29;False
4th Qtr;5:37;True;2;1;False
4th Qtr;4:07;False;2;12;False
4th Qtr;3:58;False;3;30;False
4th Qtr;3:38;False;3;31;False
1st Qtr;9:30;True;2;0;True
1st Qtr;7:46;True;2;5;True
1st Qtr;6:03;True;3;30;True
1st Qtr;2:14;False;3;27;True
2nd Qtr;7:35;False;3;29;False
2nd Qtr;5:27;True;3;26;True
2nd Qtr;2:46;True;2;5;True
2nd Qtr;1:50;False;3;23;True
3rd Qtr;11:48;False;3;27;True
3rd Qtr;8:29;True;3;27;True
3rd Qtr;5:18;True;3;30;False
3rd Qtr;4:42;True;2;6;True
3rd Qtr;4:20;False;3;34;True
3rd Qtr;2:26;False;2;11;True
3rd Qtr;1:39;True;3;24;True
3rd Qtr;1:11;False;3;32;True
4th Qtr;5:32;True;3;25;True
4th Qtr;3:36;False;2;7;True
4th Qtr;3:15;True;2;8;True
4th Qtr;2:46;False;3;22;True
4th Qtr;2:40;True;3;26;True
4th Qtr;2:04;True;2;19;True
1st Qtr;10:35;False;3;25;False
1st Qtr;8:32;False;3;30;False
1st Qtr;7:54;True;2;2;False
1st Qtr;6:43;True;2;23;False
1st Qtr;5:05;True;2;1;False
1st Qtr;3:25;True;2;5;False
1st Qtr;3:02;False;3;25;False
2nd Qtr;5:27;False;3;28;False
3rd Qtr;10:33;False;3;28;False
3rd Qtr;6:53;True;3;28;False
3rd Qtr;5:10;False;2;13;False
3rd Qtr;4:48;True;3;26;False
3rd Qtr;4:02;True;2;2;False
3rd Qtr;3:21;True;2;2;False
3rd Qtr;2:14;False;3;26;False
4th Qtr;4:01;False;3;28;False
4th Qtr;3:47;True;3;28;False
4th Qtr;3:15;False;2;14;False
4th Qtr;2:27;True;2;2;True
4th Qtr;0:33;False;3;26;True
4th Qtr;0:00;False;3;27;False
1st OT;0:16;False;3;33;False
1st Qtr;10:49;False;3;32;True
1st Qtr;7:26;True;2;15;True
1st Qtr;7:03;False;3;27;True
1st Qtr;5:49;False;2;11;True
1st Qtr;4:44;True;3;27;True
2nd Qtr;5:29;True;2;20;False
2nd Qtr;4:44;True;3;31;False
2nd Qtr;4:11;False;3;28;False
2nd Qtr;2:23;False;3;26;False
2nd Qtr;0:22;True;3;27;False
3rd Qtr;11:18;False;2;3;False
3rd Qtr;9:22;False;3;30;False
3rd Qtr;6:35;False;2;11;False
3rd Qtr;6:03;False;2;3;False
3rd Qtr;2:46;True;2;2;False
4th Qtr;8:13;True;2;9;False
4th Qtr;7:40;True;2;1;False
4th Qtr;6:28;False;3;27;False
4th Qtr;4:57;True;2;18;False
4th Qtr;3:32;True;3;28;False
4th Qtr;2:37;False;3;27;False
4th Qtr;1:55;False;3;33;False
4th Qtr;0:57;False;3;30;False
1st Qtr;10:01;True;3;23;True
1st Qtr;9:38;True;2;2;True
1st Qtr;4:44;True;3;26;True
2nd Qtr;5:03;False;3;30;False
2nd Qtr;4:47;False;3;24;False
2nd Qtr;2:08;False;3;27;False
3rd Qtr;10:54;True;2;11;False
3rd Qtr;10:30;False;3;28;False
3rd Qtr;7:08;True;3;30;True
4th Qtr;6:22;False;2;6;False
4th Qtr;6:20;True;2;2;False
4th Qtr;5:03;True;3;28;True
4th Qtr;3:43;False;3;31;False
4th Qtr;1:39;False;3;26;False
1st Qtr;10:37;False;3;23;False
1st Qtr;8:39;False;3;26;True
1st Qtr;5:48;True;3;27;True
1st Qtr;5:19;False;2;3;True
1st Qtr;2:10;False;3;27;False
2nd Qtr;5:44;True;3;26;True
2nd Qtr;4:00;True;2;2;True
2nd Qtr;1:31;True;3;27;True
2nd Qtr;1:10;True;3;27;True
3rd Qtr;7:30;True;2;9;True
3rd Qtr;6:28;True;3;23;True
3rd Qtr;5:04;False;2;3;True
3rd Qtr;4:20;True;3;25;True
3rd Qtr;3:04;False;3;25;True
3rd Qtr;2:29;True;3;24;True
3rd Qtr;1:25;False;3;26;True
3rd Qtr;0:31;True;2;2;True
4th Qtr;7:38;False;3;25;False
4th Qtr;3:00;True;2;17;True
4th Qtr;1:55;True;2;21;True
4th Qtr;0:59;True;3;27;False
1st Qtr;11:25;True;3;27;True
1st Qtr;10:04;True;2;4;True
1st Qtr;8:59;True;2;20;True
1st Qtr;5:53;True;2;5;True
1st Qtr;3:50;True;3;27;True
2nd Qtr;6:20;True;3;29;False
2nd Qtr;5:06;True;3;27;False
2nd Qtr;4:11;False;2;20;False
2nd Qtr;1:35;True;2;6;False
2nd Qtr;0:16;False;3;29;False
3rd Qtr;9:27;False;3;31;False
3rd Qtr;8:59;True;2;6;False
3rd Qtr;6:55;True;3;26;False
3rd Qtr;5:57;True;2;6;False
3rd Qtr;4:55;False;3;26;False
3rd Qtr;4:14;False;3;25;False
4th Qtr;8:36;True;2;10;False
4th Qtr;6:34;False;2;5;False
4th Qtr;5:07;True;3;28;False
4th Qtr;4:33;False;3;26;False
4th Qtr;4:02;True;2;4;False
4th Qtr;1:53;True;2;6;False
4th Qtr;1:24;True;3;28;True
4th Qtr;0:54;True;2;10;True
1st Qtr;11:02;True;3;25;True
1st Qtr;8:14;False;3;28;False
1st Qtr;7:46;True;2;1;False
1st Qtr;6:06;True;2;4;False
1st Qtr;5:11;True;2;2;True
1st Qtr;2:13;False;3;27;True
2nd Qtr;7:07;True;2;1;False
2nd Qtr;5:26;False;3;26;False
2nd Qtr;5:15;True;2;10;False
3rd Qtr;11:36;False;2;18;False
3rd Qtr;8:13;False;2;2;False
3rd Qtr;5:25;True;2;2;False
3rd Qtr;5:01;True;2;14;False
3rd Qtr;4:00;False;3;27;False
3rd Qtr;2:03;True;3;23;False
3rd Qtr;1:32;True;3;25;False
4th Qtr;5:05;True;2;1;False
4th Qtr;4:27;True;3;25;False
4th Qtr;3:16;False;3;25;False
4th Qtr;2:26;False;2;3;False
4th Qtr;1:18;True;3;27;False
4th Qtr;0:54;True;2;1;True
4th Qtr;0:35;True;3;25;True
1st Qtr;8:52;True;2;3;True
1st Qtr;8:30;True;2;2;True
1st Qtr;7:12;False;3;25;True
1st Qtr;6:51;True;2;2;True
1st Qtr;4:48;True;2;19;True
1st Qtr;2:59;True;2;3;True
2nd Qtr;6:24;False;2;19;False
2nd Qtr;3:26;False;3;25;False
2nd Qtr;2:15;False;3;26;False
3rd Qtr;10:49;True;3;25;True
3rd Qtr;3:35;True;2;2;False
4th Qtr;8:46;True;3;25;False
4th Qtr;7:59;False;3;27;False
4th Qtr;6:09;True;3;27;False
4th Qtr;4:34;False;2;22;True
4th Qtr;4:19;False;3;22;True
4th Qtr;3:40;False;3;26;True
1st Qtr;11:26;True;3;23;True
1st Qtr;10:58;False;3;29;True
1st Qtr;5:39;False;3;26;True
1st Qtr;3:40;False;2;9;False
2nd Qtr;5:36;False;3;25;True
2nd Qtr;4:34;True;2;2;True
2nd Qtr;0:56;True;2;2;True
2nd Qtr;0:30;True;3;31;True
3rd Qtr;10:56;True;3;25;True
3rd Qtr;6:37;False;3;25;True
3rd Qtr;5:27;False;2;6;True
1st Qtr;10:56;True;3;25;True
1st Qtr;9:47;True;2;1;True
1st Qtr;3:34;True;2;1;False
1st Qtr;3:20;True;3;25;False
1st Qtr;1:22;True;2;1;False
1st Qtr;0:50;False;2;8;False
1st Qtr;0:23;True;2;2;False
2nd Qtr;6:06;True;3;23;False
2nd Qtr;4:26;True;2;1;False
2nd Qtr;3:55;True;3;29;False
2nd Qtr;3:36;False;3;29;False
2nd Qtr;2:48;True;2;1;False
2nd Qtr;2:26;False;2;18;False
3rd Qtr;8:45;True;3;26;False
3rd Qtr;8:24;False;2;3;False
3rd Qtr;6:29;False;2;2;False
3rd Qtr;4:51;False;2;2;False
3rd Qtr;2:42;True;2;10;False
3rd Qtr;2:07;False;2;3;False
3rd Qtr;0:17;True;2;18;False
4th Qtr;7:18;False;3;31;False
4th Qtr;6:20;True;2;2;False
4th Qtr;5:53;True;2;11;False
4th Qtr;5:10;True;3;28;False
4th Qtr;4:39;False;3;28;False
4th Qtr;3:37;False;2;3;False
4th Qtr;2:31;True;3;28;False
4th Qtr;1:59;False;3;33;False
1st Qtr;11:44;False;3;26;False
1st Qtr;7:08;False;2;5;True
1st Qtr;6:34;True;3;26;True
1st Qtr;5:47;False;2;14;True
1st Qtr;5:44;True;3;24;True
2nd Qtr;3:00;False;3;29;True
2nd Qtr;2:03;True;2;5;True
2nd Qtr;0:51;False;3;29;True
3rd Qtr;11:02;True;3;26;True
3rd Qtr;9:09;False;3;26;True
3rd Qtr;7:01;True;2;13;True
3rd Qtr;5:28;False;3;25;True
3rd Qtr;4:50;True;2;5;True
3rd Qtr;3:39;True;3;30;True
3rd Qtr;0:03;False;3;28;True
4th Qtr;5:34;True;2;5;True
4th Qtr;5:09;False;3;25;True
4th Qtr;2:58;True;3;28;True
1st Qtr;9:37;False;3;26;True
1st Qtr;8:30;False;2;9;True
2nd Qtr;5:30;False;3;28;False
2nd Qtr;5:24;False;3;26;False
2nd Qtr;5:05;True;3;23;False
2nd Qtr;1:44;True;3;29;False
2nd Qtr;0:29;False;3;36;False
3rd Qtr;11:39;True;3;26;False
3rd Qtr;10:39;False;3;27;False
3rd Qtr;8:49;False;2;20;False
3rd Qtr;6:20;True;2;5;False
3rd Qtr;5:56;True;3;27;False
3rd Qtr;3:20;True;2;5;False
3rd Qtr;2:55;True;3;27;True
3rd Qtr;1:55;False;3;26;False
3rd Qtr;0:24;True;2;5;False
4th Qtr;5:57;True;3;27;True
4th Qtr;4:31;False;3;28;True
4th Qtr;1:55;True;2;17;True
4th Qtr;0:34;True;3;28;True
1st Qtr;11:08;False;3;28;True
1st Qtr;10:16;True;2;7;True
1st Qtr;7:56;True;2;6;True
1st Qtr;6:16;False;3;26;False
1st Qtr;3:23;True;3;28;True
1st Qtr;2:12;False;2;5;True
1st Qtr;1:45;False;2;20;True
1st Qtr;0:14;False;2;5;True
2nd Qtr;2:28;True;2;4;True
2nd Qtr;0:33;False;3;25;True
2nd Qtr;0:14;True;2;4;True
3rd Qtr;8:01;True;2;13;True
3rd Qtr;7:34;False;3;26;True
3rd Qtr;4:57;False;2;16;True
3rd Qtr;2:26;True;3;23;True
3rd Qtr;1:56;True;3;27;True
3rd Qtr;0:36;False;2;5;True
3rd Qtr;0:18;False;3;23;True
4th Qtr;6:43;False;3;27;True
4th Qtr;5:47;True;3;26;True
1st Qtr;11:18;False;3;28;False
1st Qtr;10:33;True;2;6;True
1st Qtr;8:40;True;3;27;True
1st Qtr;7:14;True;2;12;True
1st Qtr;5:47;True;3;25;True
1st Qtr;5:26;False;3;26;True
1st Qtr;5:03;True;2;5;True
1st Qtr;2:37;False;2;19;True
1st Qtr;2:07;True;2;3;True
2nd Qtr;5:29;False;3;26;True
2nd Qtr;4:38;True;2;8;True
2nd Qtr;3:43;False;2;16;True
3rd Qtr;9:27;True;3;27;True
4th Qtr;7:40;True;3;25;True
4th Qtr;7:21;True;3;28;True
4th Qtr;6:49;False;3;30;True
4th Qtr;5:11;True;2;6;True
4th Qtr;3:02;False;3;28;True
4th Qtr;2:32;True;3;29;True
4th Qtr;2:05;False;2;6;True
4th Qtr;1:42;True;2;4;True
1st Qtr;9:20;False;3;23;True
1st Qtr;7:42;True;2;16;True
1st Qtr;7:20;True;3;25;True
1st Qtr;5:35;True;2;8;True
1st Qtr;3:55;True;3;27;True
1st Qtr;3:05;False;3;27;True
2nd Qtr;2:04;False;3;27;True
2nd Qtr;1:38;False;3;25;True
2nd Qtr;0:43;False;2;1;True
3rd Qtr;6:05;True;3;28;True
3rd Qtr;2:57;True;2;2;True
4th Qtr;6:49;False;2;18;True
4th Qtr;6:17;False;2;13;True
4th Qtr;5:45;False;3;32;True
4th Qtr;5:05;True;3;28;True
4th Qtr;4:28;False;3;27;True
1st Qtr;11:36;False;3;29;False
1st Qtr;8:33;False;3;25;False
1st Qtr;6:26;False;2;16;False
1st Qtr;5:22;False;3;26;False
1st Qtr;2:42;True;3;27;False
1st Qtr;1:22;True;2;13;False
1st Qtr;0:52;True;2;4;False
2nd Qtr;5:48;True;2;2;False
2nd Qtr;4:21;True;3;26;False
2nd Qtr;3:03;True;3;25;False
2nd Qtr;1:57;False;3;26;False
2nd Qtr;1:34;False;3;26;False
2nd Qtr;0:00;False;3;26;False
3rd Qtr;7:12;True;2;13;False
3rd Qtr;6:26;True;2;1;False
3rd Qtr;5:58;True;3;25;False
3rd Qtr;1:41;False;2;3;False
3rd Qtr;1:24;False;3;28;False
4th Qtr;5:34;False;3;28;True
4th Qtr;4:49;False;2;18;True
4th Qtr;4:25;False;3;25;True
4th Qtr;2:09;True;3;23;True
4th Qtr;1:37;False;2;1;False
4th Qtr;1:19;True;2;3;False
1st Qtr;7:50;True;3;27;True
2nd Qtr;6:48;True;3;27;True
2nd Qtr;4:18;False;2;20;True
2nd Qtr;1:52;False;2;21;True
2nd Qtr;1:14;False;3;29;True
2nd Qtr;0:48;True;3;27;True
3rd Qtr;9:02;True;2;11;True
3rd Qtr;7:45;True;3;29;True
3rd Qtr;5:31;False;3;32;True
3rd Qtr;2:37;False;2;12;True
4th Qtr;5:32;True;2;7;True
4th Qtr;4:50;False;2;20;True
4th Qtr;3:44;False;3;28;True
4th Qtr;3:07;False;2;7;True
4th Qtr;3:02;False;3;24;True
4th Qtr;0:21;False;2;6;True
1st Qtr;8:13;True;2;4;True
1st Qtr;6:20;True;3;30;True
1st Qtr;5:31;False;3;31;True
1st Qtr;4:32;True;3;23;True
1st Qtr;3:24;True;3;23;True
1st Qtr;2:21;False;3;27;True
2nd Qtr;4:41;False;2;5;True
2nd Qtr;3:50;False;3;27;True
2nd Qtr;2:52;False;3;28;True
2nd Qtr;0:07;True;3;26;True
3rd Qtr;10:10;False;3;26;True
3rd Qtr;7:35;False;3;27;True
3rd Qtr;6:02;True;2;5;True
3rd Qtr;5:43;False;2;5;True
3rd Qtr;3:44;False;3;26;True
3rd Qtr;1:40;True;3;30;True
4th Qtr;6:48;True;3;26;True
4th Qtr;6:20;False;3;29;True
4th Qtr;3:45;True;3;26;True
4th Qtr;2:28;False;3;27;True
4th Qtr;2:10;True;3;27;True
1st Qtr;11:14;False;2;21;False
1st Qtr;4:02;False;3;28;False
1st Qtr;3:40;True;2;5;False
1st Qtr;3:12;False;3;28;False
1st Qtr;1:13;False;3;26;False
1st Qtr;0:01;False;2;12;False
2nd Qtr;0:50;False;3;31;False
3rd Qtr;11:06;False;3;27;False
3rd Qtr;5:51;False;2;5;False
3rd Qtr;5:13;True;3;26;False
3rd Qtr;3:20;False;2;7;False
3rd Qtr;3:03;True;3;30;False
3rd Qtr;1:44;False;2;23;False
4th Qtr;3:30;False;3;28;False
4th Qtr;1:20;False;2;6;False
4th Qtr;1:06;False;3;26;False
4th Qtr;0:34;False;3;24;False
1st Qtr;10:14;False;2;12;True
1st Qtr;6:17;False;2;7;False
1st Qtr;3:40;False;3;30;True
1st Qtr;2:00;True;3;27;True
1st Qtr;0:30;True;2;4;True
1st Qtr;0:01;True;3;31;True
2nd Qtr;4:19;True;3;30;True
2nd Qtr;2:48;True;2;19;True
2nd Qtr;0:28;True;3;32;True
3rd Qtr;11:14;True;2;15;True
3rd Qtr;10:49;True;3;27;True
3rd Qtr;7:30;False;3;31;True
3rd Qtr;3:43;True;2;5;True
3rd Qtr;2:46;False;3;28;True
3rd Qtr;0:50;False;2;5;True
4th Qtr;7:21;False;2;4;True
4th Qtr;7:18;True;2;0;True
4th Qtr;6:19;False;3;29;True
